Source,Target,BDeu,TSource,TTarget
AT2G28550.1,AT1G57560.1,-9.88751059812843,RAP2.7,MYB50
AT1G42990.1,AT4G17500.1,-9.88751059812843,AT1G42990,AT4G17500
AT1G42990.1,AT4G31550.1,-9.88751059812843,AT1G42990,AT4G31550
AT1G42990.1,AT4G31550.2,-9.88751059812843,AT1G42990,AT4G31550
AT2G28550.1,AT5G08330.1,-9.88751059812843,RAP2.7,AT5G08330
AT2G28550.1,AT3G19580.2,-29.6625317941544,RAP2.7,AT3G19580
AT5G60850.1,AT3G19580.2,-29.6625317941544,AT5G60850,AT3G19580
AT3G10040.1,AT3G19580.1,-29.6625317941544,AT3G10040,AT3G19580
AT2G28550.1,AT3G19580.1,-29.6625317941544,RAP2.7,AT3G19580
AT1G42990.1,AT4G11140.1,-29.6625317941544,AT1G42990,CRF1
AT3G50330.1,AT4G11140.1,-29.6625317941544,AT3G50330,CRF1
AT1G42990.1,AT5G47640.1,-29.6625317941544,AT1G42990,AT5G47640
AT3G50330.1,AT5G47640.1,-29.6625317941544,AT3G50330,AT5G47640
AT3G50330.1,AT3G06740.1,-37.4777097195377,AT3G50330,AT3G06740
AT3G50330.1,AT3G61630.1,-37.4777097195377,AT3G50330,AT3G61630
AT3G50330.1,AT4G37540.1,-37.4777097195377,AT3G50330,AT4G37540
AT2G28550.1,AT1G64380.1,-58.9799518636434,RAP2.7,AT1G64380
AT4G16750.1,AT1G64380.1,-58.9799518636434,AT4G16750,AT1G64380
AT3G50330.1,AT1G74840.1,-65.0033703198096,AT3G50330,AT1G74840
AT3G50330.1,AT1G74840.2,-65.0033703198096,AT3G50330,AT1G74840
AT3G50330.1,AT5G65080.2,-65.0033703198096,AT3G50330,AT5G65080
AT3G50330.1,AT3G58190.1,-71.8046533542167,AT3G50330,AT3G58190
AT3G50330.1,AT1G36060.1,-71.8046533542168,AT3G50330,AT1G36060
AT3G50330.1,AT1G43160.1,-71.8046533542168,AT3G50330,RAP2.6
AT3G50330.1,AT2G23340.1,-71.8046533542168,AT3G50330,DEAR3
AT3G50330.1,AT3G03660.1,-71.8046533542168,AT3G50330,WOX11
AT3G50330.1,AT3G03660.2,-71.8046533542168,AT3G50330,WOX11
AT1G68840.2,AT5G53980.1,-83.2867366390608,AT1G68840,AT5G53980
AT2G28550.1,AT5G53980.1,-83.2867366390608,RAP2.7,AT5G53980
AT3G10040.1,AT5G43170.1,-84.8271816800003,AT3G10040,ZF3
AT2G28550.1,AT5G43170.1,-84.8271816800003,RAP2.7,ZF3
AT3G50330.1,AT5G06710.1,-100.246307230022,AT3G50330,AT5G06710
AT5G60850.1,AT5G06710.1,-100.246307230022,AT5G60850,AT5G06710
AT2G28550.1,AT3G60390.1,-101.61732932867,RAP2.7,AT3G60390
AT3G50330.1,AT4G28110.1,-104.635963994801,AT3G50330,AT4G28110
AT5G60850.1,AT4G28110.1,-104.635963994801,AT5G60850,AT4G28110
AT2G46970.1,AT1G67100.1,-105.438449808352,AT2G46970,AT1G67100
AT2G46970.1,AT5G44260.1,-116.471990175338,AT2G46970,AT5G44260
AT2G46970.1,AT5G39610.1,-120.058590780317,AT2G46970,AT5G39610
AT3G10040.1,AT5G47220.1,-122.713438174042,AT3G10040,AT5G47220
AT1G68840.2,AT5G47220.1,-122.713438174042,AT1G68840,AT5G47220
AT3G50330.1,AT5G41570.1,-128.048057497209,AT3G50330,AT5G41570
AT3G50330.1,AT5G67060.1,-133.021094952637,AT3G50330,AT5G67060
AT4G16750.1,AT5G67060.1,-133.021094952637,AT4G16750,AT5G67060
AT5G60850.1,AT1G28370.1,-141.432701418138,AT5G60850,AT1G28370
AT2G28550.1,AT1G52890.1,-142.208951474458,RAP2.7,AT1G52890
AT5G13910.1,AT1G52890.1,-142.208951474458,AT5G13910,AT1G52890
AT5G13910.1,AT3G49930.1,-152.491333706851,AT5G13910,AT3G49930
AT2G46970.1,AT2G45160.1,-152.659425195803,AT2G46970,HAM1
AT3G15210.1,AT3G25730.1,-154.095066814268,AT3G15210,AT3G25730
AT5G23280.1,AT3G25730.1,-154.095066814268,AT5G23280,AT3G25730
AT3G10040.1,AT3G23240.1,-158.937638688526,AT3G10040,AT3G23240
AT4G16750.1,AT3G23240.1,-158.937638688526,AT4G16750,AT3G23240
AT3G10040.1,AT5G47230.1,-159.275184667078,AT3G10040,AT5G47230
