Source,Target,BDeu,TSource,TTarget
AT1G29160.1,AT1G12890.1,-9.88751059812842,AT1G29160,AT1G12890
AT1G29160.1,AT1G07640.1,-9.88751059812843,AT1G29160,AT1G07640
AT1G72360.3,AT1G27740.1,-9.88751059812843,AT1G72360,RSL4
AT1G72360.3,AT5G06250.1,-9.88751059812843,AT1G72360,AT5G06250
AT1G72360.3,AT5G06250.2,-9.88751059812843,AT1G72360,AT5G06250
AT1G01380.1,AT1G73830.1,-29.6625317941544,AT1G01380,AT1G73830
AT2G37740.1,AT1G73830.1,-29.6625317941544,AT2G37740,AT1G73830
AT2G37740.1,AT1G03970.1,-36.7845625389789,AT2G37740,AT1G03970
AT2G37740.1,AT1G08010.2,-36.7845625389789,AT2G37740,AT1G08010
AT2G37740.1,AT1G10480.1,-36.7845625389789,AT2G37740,AT1G10480
AT2G37740.1,AT1G18570.1,-36.7845625389789,AT2G37740,AT1G18570
AT2G37740.1,AT1G27650.1,-36.7845625389789,AT2G37740,AT1G27650
AT2G37740.1,AT1G27650.2,-36.7845625389789,AT2G37740,AT1G27650
AT2G37740.1,AT1G28520.2,-36.7845625389789,AT2G37740,VOZ1
AT2G37740.1,AT1G28520.1,-36.7845625389789,AT2G37740,VOZ1
AT2G37740.1,AT1G30650.1,-36.7845625389789,AT2G37740,AT1G30650
AT2G37740.1,AT1G34670.1,-36.7845625389789,AT2G37740,AT1G34670
AT2G37740.1,AT1G43700.1,-36.7845625389789,AT2G37740,AT1G43700
AT2G37740.1,AT1G50420.1,-36.7845625389789,AT2G37740,SCL3
AT2G37740.1,AT1G59750.4,-36.7845625389789,AT2G37740,AT1G59750
AT2G37740.1,AT1G59750.2,-36.7845625389789,AT2G37740,AT1G59750
AT2G37740.1,AT1G59750.1,-36.7845625389789,AT2G37740,AT1G59750
AT2G37740.1,AT1G59750.3,-36.7845625389789,AT2G37740,AT1G59750
AT2G37740.1,AT1G65300.1,-36.7845625389789,AT2G37740,AT1G65300
AT2G37740.1,AT1G65620.2,-36.7845625389789,AT2G37740,AT1G65620
AT2G37740.1,AT1G65620.3,-36.7845625389789,AT2G37740,AT1G65620
AT2G37740.1,AT1G65620.4,-36.7845625389789,AT2G37740,AT1G65620
AT2G37740.1,AT1G67710.1,-36.7845625389789,AT2G37740,AT1G67710
AT2G37740.1,AT1G72450.1,-36.7845625389789,AT2G37740,AT1G72450
AT2G37740.1,AT1G75080.1,-36.7845625389789,AT2G37740,AT1G75080
AT2G37740.1,AT1G75080.2,-36.7845625389789,AT2G37740,AT1G75080
AT2G37740.1,AT1G75490.1,-36.7845625389789,AT2G37740,AT1G75490
AT2G37740.1,AT1G79700.1,-36.7845625389789,AT2G37740,AT1G79700
AT2G37740.1,AT1G79700.2,-36.7845625389789,AT2G37740,AT1G79700
AT2G37740.1,AT2G04890.1,-36.7845625389789,AT2G37740,AT2G04890
AT2G37740.1,AT2G14210.1,-36.7845625389789,AT2G37740,AT2G14210
AT2G37740.1,AT2G18350.1,-36.7845625389789,AT2G37740,AT2G18350
AT2G37740.1,AT2G23290.1,-36.7845625389789,AT2G37740,AT2G23290
AT2G37740.1,AT2G24260.1,-36.7845625389789,AT2G37740,AT2G24260
AT2G37740.1,AT2G28200.1,-36.7845625389789,AT2G37740,AT2G28200
AT2G37740.1,AT2G40220.1,-36.7845625389789,AT2G37740,AT2G40220
AT2G37740.1,AT2G44940.1,-36.7845625389789,AT2G37740,AT2G44940
AT2G37740.1,AT3G11580.1,-36.7845625389789,AT2G37740,AT3G11580
AT2G37740.1,AT3G15500.1,-36.7845625389789,AT2G37740,AT3G15500
AT2G37740.1,AT3G16857.2,-36.7845625389789,AT2G37740,AT3G16857
AT2G37740.1,AT3G16857.1,-36.7845625389789,AT2G37740,AT3G16857
AT2G37740.1,AT3G18400.1,-36.7845625389789,AT2G37740,AT3G18400
AT2G37740.1,AT3G24120.2,-36.7845625389789,AT2G37740,AT3G24120
AT2G37740.1,AT3G24120.1,-36.7845625389789,AT2G37740,AT3G24120
AT2G37740.1,AT3G29035.1,-36.7845625389789,AT2G37740,NAC3
AT2G37740.1,AT3G56980.1,-36.7845625389789,AT2G37740,AT3G56980
AT2G37740.1,AT4G00050.1,-36.7845625389789,AT2G37740,AT4G00050
AT2G37740.1,AT4G01720.1,-36.7845625389789,AT2G37740,AT4G01720
AT2G37740.1,AT4G28140.1,-36.7845625389789,AT2G37740,AT4G28140
AT2G37740.1,AT4G30980.1,-36.7845625389789,AT2G37740,AT4G30980
AT2G37740.1,AT4G36780.1,-36.7845625389789,AT2G37740,AT4G36780
AT2G37740.1,AT4G37260.1,-36.7845625389789,AT2G37740,AT4G37260
AT2G37740.1,AT4G37610.1,-36.7845625389789,AT2G37740,AT4G37610
AT2G37740.1,AT5G07100.1,-36.7845625389789,AT2G37740,AT5G07100
AT2G37740.1,AT5G07100.2,-36.7845625389789,AT2G37740,AT5G07100
AT2G37740.1,AT5G13790.1,-36.7845625389789,AT2G37740,AT5G13790
AT2G37740.1,AT5G17430.1,-36.7845625389789,AT2G37740,BBM
AT2G37740.1,AT5G21120.1,-36.7845625389789,AT2G37740,EIL2
AT2G37740.1,AT5G44160.1,-36.7845625389789,AT2G37740,AT5G44160
AT2G37740.1,AT5G47390.1,-36.7845625389789,AT2G37740,AT5G47390
AT2G37740.1,AT5G53950.1,-36.7845625389789,AT2G37740,AT5G53950
AT2G37740.1,AT5G57620.1,-36.7845625389789,AT2G37740,AT5G57620
AT2G37740.1,AT5G59820.1,-36.7845625389789,AT2G37740,AT5G59820
AT2G37740.1,AT5G60890.1,-36.7845625389789,AT2G37740,MYB34
AT2G37740.1,AT5G61420.2,-36.7845625389789,AT2G37740,AT5G61420
AT2G37740.1,AT5G61420.1,-36.7845625389789,AT2G37740,AT5G61420
AT2G37740.1,AT5G66700.1,-36.7845625389789,AT2G37740,AT5G66700
AT2G22770.1,AT1G15050.1,-36.902345574635,AT2G22770,AT1G15050
AT1G08320.2,AT1G21910.1,-36.902345574635,AT1G08320,AT1G21910
AT2G22770.1,AT5G61590.1,-36.902345574635,AT2G22770,AT5G61590
AT2G37740.1,AT1G77640.1,-44.7273910857609,AT2G37740,AT1G77640
AT3G02940.1,AT1G19180.1,-47.3260841915162,AT3G02940,AT1G19180
AT3G02940.1,AT1G19180.2,-47.3260841915162,AT3G02940,AT1G19180
AT3G02940.1,AT5G25190.1,-49.8228252989429,AT3G02940,AT5G25190
AT2G22430.1,AT1G09530.1,-57.3705139512145,AT2G22430,AT1G09530
AT2G22770.1,AT1G09530.1,-57.3705139512145,AT2G22770,AT1G09530
AT2G22430.1,AT1G09530.2,-57.3705139512145,AT2G22430,AT1G09530
AT2G22770.1,AT1G09530.2,-57.3705139512145,AT2G22770,AT1G09530
AT2G22430.1,AT5G13330.1,-57.3705139512145,AT2G22430,AT5G13330
AT2G22770.1,AT5G13330.1,-57.3705139512145,AT2G22770,AT5G13330
AT2G22430.1,AT5G46710.1,-57.3705139512145,AT2G22430,AT5G46710
AT2G22770.1,AT5G46710.1,-57.3705139512145,AT2G22770,AT5G46710
AT1G49130.1,AT3G04060.1,-60.9258620126985,AT1G49130,AT3G04060
AT3G02940.1,AT3G04060.1,-60.9258620126985,AT3G02940,AT3G04060
AT1G49130.1,AT2G36890.1,-62.8604842019751,AT1G49130,AT2G36890
AT2G22430.1,AT2G36890.1,-62.8604842019751,AT2G22430,AT2G36890
AT1G49130.1,AT1G65620.1,-62.8604842019751,AT1G49130,AT1G65620
AT2G22430.1,AT1G65620.1,-62.8604842019751,AT2G22430,AT1G65620
